clip_index,trick_index,trick,bank,obstacle,obstacle_detailer,flannel,slowmo,line,switch,video,year
1,1,front shuv,,flat,,1,,1,,Authentic Hi,2020
1,2,fs kickflip,1,into bank,,1,,1,,Authentic Hi,2020
2,3,ollie,,up curb,,1,,1,,Authentic Hi,2020
2,4,shuv it to pivot to shuv it to fakie,1,ledge,steep bank,1,,1,,Authentic Hi,2020
3,5,bs noseblunt slide,1,ledge,into bank,,,,,Authentic Hi,2020
4,6,bs 180 to s crook to regular,1,ledge,into bank,,,,,Authentic Hi,2020
5,7,bs bluntslide to kickflip to fakie,1,ledge,bank to ledge,,,,,Authentic Hi,2020
6,8,bs crook to nollie flip,1,ledge,bank to ledge,,,,1,Authentic Hi,2020
7,9,darkslide,1,ledge,bank to ledge,,1,,,Authentic Hi,2020
8,10,sw heelflip,1,into bank,,1,0,,1,Authentic Hi,2020
9,11,sw bs 180,1,into bank,hill bomb,1,0,,1,Authentic Hi,2020
10,12,ollie,1,into bank,,,0,1,,Authentic Hi,2020
10,13,bs kickflip,1,into bank,,,0,1,,Authentic Hi,2020
11,14,noseslide to nollie flip,,ledge,,,0,1,,Authentic Hi,2020
11,15,bs 180,,flat,,,0,1,,Authentic Hi,2020
1,1,wallride ,1,wall,,,0,,,DOUBLE A,2019
2,2,ride off hubba,1,drop,off hubba,,0,,,DOUBLE A,2019
3,3,bigspin,1,into bank,,,0,1,,DOUBLE A,2019
3,4,sw crook to regular,1,ledge,bank to ledge,,0,1,1,DOUBLE A,2019
4,4,sw crook to regular,1,ledge,bank to ledge,,0,,1,DOUBLE A,2019
5,5,wallie to rock and roll,1,wall,into bank,1,0,,,DOUBLE A,2019
6,6,ride off hubba,1,drop,off hubba,,0,,1,DOUBLE A,2019
7,6,ride off hubba,1,drop,off hubba,,0,,1,DOUBLE A,2019
8,7,ollie,1,gap,channel,,0,1,,DOUBLE A,2019
8,8,kickflip,1,gap,channel,,0,1,,DOUBLE A,2019
9,9,ollie,,up curb,,1,0,1,,DOUBLE A,2019
9,10,hippie jump,1,bump to bar,,1,0,1,,DOUBLE A,2019
10,11,sw front noseslide to shuv it to regular,1,ledge,bank to ledge,,0,,1,DOUBLE A,2019
11,12,ride off hubba,1,drop,into bank,,0,,,DOUBLE A,2019
12,13,bs bluntslide to kickflip,1,ledge,into bank,,0,,,DOUBLE A,2019
13,14,halfcab flip,1,into bank,,,0,,1,DOUBLE A,2019
14,15,halfcab heel,1,into bank,,,0,,1,DOUBLE A,2019
15,16,tail drop to kickflip,1,into bank,,,0,,,DOUBLE A,2019
16,17,bs noseslide to yank ,1,ledge,into bank,,0,,,DOUBLE A,2019
17,18,bs noseslide to nollie bs 180,1,ledge,into bank,,0,,,DOUBLE A,2019
1,1,ollie,1,gap,curb cut,,0,1,0,Boys of Summer Leftovers,2016
1,2,ollie,1,gap,curb cut over hydrant,,0,1,0,Boys of Summer Leftovers,2016
1,3,fs flip,,flat,gap,,0,1,0,Boys of Summer Leftovers,2016
2,4,ollie,,curb,,1,0,1,0,Boys of Summer Leftovers,2016
2,5,wallie,,wall,drop,1,0,1,0,Boys of Summer Leftovers,2016
3,6,5-0 to fakie,1,transition,,,0,1,steep bank,Boys of Summer Leftovers,2016
3,7,sw front crook to fakie,1,transition,,,0,1,steep bank,Boys of Summer Leftovers,2016
4,8,bs flip ,1,up curb,,,0,1,up curb,Boys of Summer Leftovers,2016
4,9,sw tre,1,gap,curb cut,,0,1,,Boys of Summer Leftovers,2016
5,10,fs blunt to shuv,1,ledge,into bank,,0,1,,Boys of Summer Leftovers,2016
5,11,front shuv,,flat,,,0,1,,Boys of Summer Leftovers,2016
6,12,halfcab,,stairs,5,,0,1,,Boys of Summer Leftovers,2016
6,13,bs bigspin,,stairs,4,,0,1,,Boys of Summer Leftovers,2016
