clip_index,trick_index,trick,switch,line,slowmo,obstacle,obstacle_detailed,location,video
1,1,fs kickflip,,,,stair,,hollywood high,Baker - Baker 3 - 2005
2,1,fs kickflip,,,,stair,,hollywood high,Baker - Baker 3 - 2005
3,2,bs kickflip,,,,stair,,,Baker - Baker 3 - 2005
4,2,bs kickflip,,,,stair,,,Baker - Baker 3 - 2005
5,3,bs 360,,,,gap,,,Baker - Baker 3 - 2005
6,4,bs nosegrind,,,,ledge,,santa monica courthouse,Baker - Baker 3 - 2005
7,5,bs heelflip,,,,stair,,,Baker - Baker 3 - 2005
8,6,nollie fs 180,1,,,stair,double set,,Baker - Baker 3 - 2005
9,7,nollie bs shuvit,1,,,stair,,,Baker - Baker 3 - 2005
10,7,nollie bs shuvit,1,,,stair,,,Baker - Baker 3 - 2005
11,8,fs kickflip to switch manual,,,,manual,,,Baker - Baker 3 - 2005
12,9,switch ollie,1,,,gap,roof,,Baker - Baker 3 - 2005
13,10,switch bs shuvit revert,1,,,stair,double set,,Baker - Baker 3 - 2005
14,11,nollie kickflip,1,,,stair,,hollywood high,Baker - Baker 3 - 2005
15,12,fakie kickflip,,,,stair,,hollywood high,Baker - Baker 3 - 2005
16,12,fakie kickflip,,,,stair,,hollywood high,Baker - Baker 3 - 2005
17,13,bs kickflip,,1,,table,over,,Baker - Baker 3 - 2005
17,14,switch bs nosegrind,1,1,,table,,,Baker - Baker 3 - 2005
18,15,kickflip,,1,,table,over,,Baker - Baker 3 - 2005
18,16,nollie fs 180 to switch bs 5-0 to bs shuvit,1,1,,table,,,Baker - Baker 3 - 2005
19,17,nollie kickflip,1,1,,flat,,,Baker - Baker 3 - 2005
19,18,nollie fs 180 to switch bs 5-0,1,1,,ledge,,,Baker - Baker 3 - 2005
19,19,switch kickflip,1,1,1,stair,,,Baker - Baker 3 - 2005
20,19,switch kickflip,1,1,1,stair,,,Baker - Baker 3 - 2005
21,20,fs 180,,,,hydrant,over,,Baker - Baker 3 - 2005
22,21,fs wallride,,,1,wallride,bank over rail,,Baker - Baker 3 - 2005
23,22,nollie fs 180,1,1,,stair,,,Baker - Baker 3 - 2005
23,23,switch bs shuvit,1,1,,stair,,,Baker - Baker 3 - 2005
24,24,bs tailslide to kickflip to fakie,,,,ledge,,,Baker - Baker 3 - 2005
25,25,kickflip to bs nosegrind,,,,ledge,,,Baker - Baker 3 - 2005
26,26,kickflip to bs 5-0,,,,ledge,,,Baker - Baker 3 - 2005
